0.0665	0.0025	0.0303	0.0151	0.0043	0.0064	0.0036	0.0171	0.0032	0.0091	0.0054	0.0016	0.0065	0.0024	0.0148	0.0038	0.0037	0.0082	0.0008	0.0022	
0.0025	0.0543	0.0019	0.0002	0.0013	0.0071	0.0003	0.0073	0.0003	0.0061	0.0006	0.0009	0.0076	0.0002	0.0168	0.0012	0.0044	0.0081	0.0001	0.0002	
0.0303	0.0019	0.2618	0.0429	0.0020	0.0014	0.0325	0.0010	0.0260	0.0038	0.0428	0.0023	0.0017	0.0201	0.0036	0.0019	0.0010	0.0014	0.0065	0.0190	
0.0151	0.0002	0.0429	0.1226	0.0093	0.0019	0.0101	0.0138	0.0071	0.0249	0.0121	0.0015	0.0048	0.0055	0.0062	0.0081	0.0028	0.0012	0.0017	0.0055	
0.0043	0.0013	0.0020	0.0093	0.0577	0.0093	0.0008	0.0084	0.0005	0.0076	0.0010	0.0012	0.0156	0.0004	0.0003	0.0002	0.0095	0.0094	0.0001	0.0004	
0.0064	0.0071	0.0014	0.0019	0.0093	0.1041	0.0000	0.0063	0.0000	0.0006	0.0002	0.0016	0.0008	0.0000	0.0001	0.0017	0.0010	0.0049	0.0000	0.0000	
0.0036	0.0003	0.0325	0.0101	0.0008	0.0000	0.4588	0.0017	0.0045	0.0020	0.0221	0.0076	0.0000	0.0741	0.0000	0.0002	0.0000	0.0000	0.0041	0.1174	
0.0171	0.0073	0.0010	0.0138	0.0084	0.0063	0.0017	0.1272	0.0000	0.0331	0.0008	0.0115	0.0004	0.0011	0.0016	0.0155	0.0013	0.0062	0.0000	0.0005	
0.0032	0.0003	0.0260	0.0071	0.0005	0.0000	0.0045	0.0000	0.4109	0.0019	0.0533	0.0039	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0068	0.0337	
0.0091	0.0061	0.0038	0.0249	0.0076	0.0006	0.0020	0.0331	0.0019	0.1587	0.0024	0.0108	0.0001	0.0018	0.0025	0.0216	0.0008	0.0032	0.0001	0.0002	
0.0054	0.0006	0.0428	0.0121	0.0010	0.0002	0.0221	0.0008	0.0533	0.0024	0.3446	0.0152	0.0000	0.0253	0.0004	0.0001	0.0000	0.0000	0.0008	0.0455	
0.0016	0.0009	0.0023	0.0015	0.0012	0.0016	0.0076	0.0115	0.0039	0.0108	0.0152	0.1783	0.0001	0.0116	0.0035	0.0041	0.0000	0.0001	0.0001	0.0078	
0.0065	0.0076	0.0017	0.0048	0.0156	0.0008	0.0000	0.0004	0.0000	0.0001	0.0000	0.0001	0.0929	0.0000	0.0000	0.0000	0.0607	0.0015	0.0000	0.0000	
0.0024	0.0002	0.0201	0.0055	0.0004	0.0000	0.0741	0.0011	0.0015	0.0018	0.0253	0.0116	0.0000	0.3536	0.0001	0.0002	0.0000	0.0000	0.0034	0.0674	
0.0148	0.0168	0.0036	0.0062	0.0003	0.0001	0.0000	0.0016	0.0000	0.0025	0.0004	0.0035	0.0000	0.0001	0.0895	0.0017	0.0000	0.0001	0.0000	0.0000	
0.0038	0.0012	0.0019	0.0081	0.0002	0.0017	0.0002	0.0155	0.0000	0.0216	0.0001	0.0041	0.0000	0.0002	0.0017	0.1308	0.0000	0.0003	0.0000	0.0001	
0.0037	0.0044	0.0010	0.0028	0.0095	0.0010	0.0000	0.0013	0.0000	0.0008	0.0000	0.0000	0.0607	0.0000	0.0000	0.0000	0.1865	0.0009	0.0000	0.0000	
0.0082	0.0081	0.0014	0.0012	0.0094	0.0049	0.0000	0.0062	0.0000	0.0032	0.0000	0.0001	0.0015	0.0000	0.0001	0.0003	0.0009	0.3352	0.0000	0.0000	
0.0008	0.0001	0.0065	0.0017	0.0001	0.0000	0.0041	0.0000	0.0068	0.0001	0.0008	0.0001	0.0000	0.0034	0.0000	0.0000	0.0000	0.0000	0.5183	0.0002	
0.0022	0.0002	0.0190	0.0055	0.0004	0.0000	0.1174	0.0005	0.0337	0.0002	0.0455	0.0078	0.0000	0.0674	0.0000	0.0001	0.0000	0.0000	0.0002	0.5085	
